Course Number,Title,Description,Instructors,Terms Offered,Equivalent Courses
HIST 11004,Gender and Sexuality in World Civilizations III: South Asia,"This course will explore major themes in the history of women, gender, and sexuality in modern South Asia. We will address reform, legislation, nationalism, and rights discourses across periods of colonialism and independence in the nineteenth and twentieth century. This includes examining how colonial reforms and criminal codes impacted women with respect to education, marriage, abortion, infanticide, and prostitution, as well as how laws targeted gender expression and criminalized forms of queerness. In independent South Asia, we will consider the development of gender and queer rights discourses and how these have been shaped by the politics of patriarchy, religion, caste, and class. We will also examine instances of gendered and sexual violence during moments of rupture such as the Partition of India and the Bangladesh Liberation War. Students in this course will draw on a range of primary and secondary texts across written and visual mediums to critically think about the place of women and gender/sexual minorities and their expressions of resilience and defiance in modern South Asia.",Zoya Sameen,"Spring
Note(s): This is an optional 3rd quarter of GNSE Civ. Students must have taken the first two quarters to be able to count this as a Core class.","GNSE 15005, SALC 15005"
HIST 11301,"Global British Empire to 1784: War, Commerce, and Revolution","This course traces the origins, development, and revolutionary transformation of the British Empire. Students will explore the English Civil War, King Philip's War, Bacon's Rebellion, the development of slavery, the Revolution of 1688, the making of British India, the rise of Irish discontent, the Scottish Jacobite Rebellions, the causes of the American Revolution, and the transformation of the British Empire into an authoritarian state. Students will read selections from Locke, Defoe, Swift, Franklin, Burke, and many others.",S. Pincus,"Autumn
Note(s): Assignments: one short paper, a classroom presentation, and one longer research-based paper.",DEMS 11301
HIST 11703,"Jewish Spaces and Places, Imagined and Real","What makes a ghetto, a ghetto? What defines a Jewish neighborhood? What determined the architectural form of synagogues? Taught in Special Collections in Regenstein Library and making extensive use of the textual and visual sources there, this course will analyze how Jews (in all their diversity) and non-Jews defined Jewish spaces and places. Sources will include: Jewish law and customary practice, cookbooks, etiquette guides, prints, films, novels, maps, memoirs, architectural drawings and photographs, and tourist guides. We may also take a field trip to the Oak Woods Cemetery. The focus will be on Europe in the 19th and 20th centuries, but we will also venture back into the early modern period and across the Mediterranean to Palestine/Israel and North Africa and the Atlantic to the Caribbean and the Americas. We will study both actually existing structures and texts and visual culture in which Jewish places and spaces are imagined or vilified. Parallel to our work with primary sources we will read in the recent, very rich, scholarly literature on this topic. This is not a survey course; we will undertake a series of intensive case-studies through which we will address the larger issues. Assignments include: presentations (individual or collaborative), short papers, Canvas postings, and there will also be the option of making a digital map or an on-line exhibition.  This is a limited-enrollment, discussion-based course. No previous knowledge of Jewish history is expected.",Leora Auslander,"Spring
Note(s): In order for a Spring course to qualify as a civilization course for the general education requirement, the student must also take Jewish Civilization I and II. A Spring course, however, may also be taken as an independent elective.","JWSC 12006, NEHC 12006, RLST 22015"
HIST 12203,"Italian Renaissance: Petrarch, Machiavelli, and the Wars of Popes and Kings","Florence, Rome, and the Italian city-states in the age of plagues and cathedrals, Petrarch and Machiavelli, Medici and Borgia (1250-1600), with a focus on literature, philosophy, primary sources, the revival of antiquity, and the papacy's entanglement with pan-European politics. We will examine humanism, patronage, politics, corruption, assassination, feuds, art, music, magic, censorship, education, science, heresy, and the roots of the Reformation. Writing assignments focus on higher level writing skills, with a creative writing component linked to our in-class role-played reenactment of a Renaissance papal election (LARP). First-year students and non-History majors welcome.",A. Palmer,"Spring
Prerequisite(s): Graduate students by consent only; register for the course as HIST 90000 Reading and Research: History.
Note(s): Assignments: short papers, alternative projects.","CLCV 22216, FNDL 22204, KNOW 12203, MDVL 12203, RENS 12203, RLST 22203, SIGN 26034, ITAL 16000"
HIST 12706,Diaspora(s)  100 Units,"This class will orient students to the practices, frameworks, and geographies of diasporic communities from the early modern period to the present. The term's initial origins in Jewish experiences of forced dispersal and migration underscores how its meaning is shaped by histories of collective displacement and loss, as well as invention and heritage. The discourse of diaspora remains foundational for several interdisciplinary fields, including Black studies, Asian American studies, Indigenous studies, Latinx studies, and more. Within these intellectual orientations, diasporic identities are notably expansive and unfixed. As observed by the late cultural theorist Stuart Hall, ""diaspora identities are those which are constantly producing and reproducing themselves anew, through transformation and difference,"" bridging old and new traditions of worldmaking, resistance, and solidarities within and across distinct diasporic sensibilities."" Students in this class will work with scholarly, literary, sonic, and visual materials demonstrating how use of diaspora alternately mobilizes and roots people, in ways that claim pasts and futures at once.",Adam Green,Spring,"CRES 12700, GLST 22700, RDIN 12200"
HIST 13802,The Russian Empire,"Empire is back in contemporary Russia. Old imperial insignia have replaced hammers and sickles on government buildings, the bodies of the last tsar and his family have been exhumed and venerated, and Putin's foreign policy stakes imperial claims on the nations on Russia's border. This course examines what the Russian empire was, how it worked, and the legacies that it left behind. Themes to be considered include the culture of the autocracy and the tradition of reform from above; imperial expansion and multiethnic society; the construction of class, ethnic, and estate identities; and the causes and consequences of the Old Regime's collapse. Mondays and Wednesdays are reserved for lectures, Fridays for discussion. Note(s): First-year students warmly welcomed; no prior Russian history, culture, or language assumed.
Equivalent Course(s): REES 13802",F. Hillis,"Autumn
Note(s): First-year students warmly welcomed; no prior Russian history, culture, or language assumed.","REES 13802, DEMS 13802"
HIST 14504,The History of Everyday in Modern Korea,"Everyday"" is easily perceived as too trivial to discuss its importance or mundane to have no historical value. In contrast, postcolonial, postmodern, poststructural, and even posthuman seem to have attempted to deconstruct pre-existing systems, social structures, our relationships with other people, objects (either living or not living), environment, and cultures (from ideology to affects, you name it). Yet, what we easily call macro-level or meta-narratives feels too heavy to lift. We will try to learn how to fill the gap between abstract and concrete and try to understand history as something specific and commonplace: Everyday. Using modern Korea as a lens, this course will address topics related to everyday-from what we do everyday (housing, eating, and clothes) to how we do everyday (earning, spending, meeting, thinking, feeling, etc.) How does food reflect the history of any society's culture? What historical situations have created so-called ""the Apartment Republic"" in South Korea? Why did the Korean public become crazy about dancing in the 1950s? How has SPAM become a popular holiday gift set?  Likewise, we can ask various questions about our notions of everydayness and discuss the multiple meanings of everydayness, the politics of everyday, and its relationships in modern Korean History.",E. Park,Autumn,
HIST 14601,Twentieth-Century China through Great Trials,"This course surveys China's turbulent twentieth century through the lens of great trials. From communist show trials to international courts, from struggle sessions to investigative journalism, and from trial by mob to trial by media, students will witness public and private ""justice"" in action both in and beyond the courtroom and across the long century's radically different governmental regimes. Our view of China will explore both the sweeping events of revolution and individual experiences. There is no prerequisite for this course.",J. Ransmeier,Autumn,"LLSO 24600, EALC 14601"
HIST 17000,Myth and Its Critics,"Myth is essential to how humans make sense of the world: our foundational stories explain the nature of the world; they justify and explore social and sexual difference; they teach and test the limits of human agency. The course will survey contexts and uses of myth-making in the ancient Mediterranean world. We will also explore the many traditions of critique and anxiety about myth-making, among philosophers, literary critics and religious authorities.",Carolina López-Ruiz,Spring,"RLST 28498, SIGN 26037, CLCV 15000"
HIST 17206,The United States in the 21st Century,"This discussion-based common-year seminar is open to first- and second-year students interested in the discipline of history. The ambition of the course is to offer a ""history of the present"" of the United States. When does history give way to the present? When does the present become the proper subject of history? Asking these questions, the course underscores the ability of the historical method to find interconnections among subjects, whether it is culture, economy, climate, society, or politics, often kept separate by other disciplines. Topics covered will include: the US-led globalization of the turn of the second millennium and its fate; 9/11 and the War on Iraq; the rise of genomic science; transformations of identity, including gender, sexuality, race, and ethnicity; the economic origins and aftermath of the financial crisis of 2008 and the Great Recession; the elections of Obama and Trump; the birth of social media; the problem of climate change; the future of American democracy. Course materials will include political speeches, fiction and nonfiction books and essays, works of scholarship, film, music, and other media.",J. Levy,Spring,CCCT 17206
